keys,en,cs,da,de,es,fi,fr,hu,id,it,nl,no,pl,pt,ro,sk,sv,tr,vi,ar,bg,el,es-419,ja,ko,pt-BR,ru,th,uk,zh-CN,zh-TW
dialogue_warnings_1,Those against will be peeled with precision.,"Ti, kteří jsou proti, budou s přesností oloupáni.","De, der er imod, vil blive skrællet med præcision.",Diejenigen dagegen werden mit Präzision geschält.,Aquellos en contra serán pelados con precisión.,"Ne, jotka vastustavat, kuoritaan täsmällisesti.",Ceux qui s'opposent seront épluché avec précision.,"Akik ellenállnak, azokat pontosan lehámozzák.",Mereka yang menentang akan dikupas dengan tepat.,Coloro che si oppongono saranno sbucciati con precisione.,"Degenen die zich verzetten, worden precies geschild.","De som er imot, vil bli skrellt med presisjon.","Ci, którzy się sprzeciwiają, zostaną dokładnie obrrani.",Aqueles que se opõem serão descascados com precisão.,Cei care se opun vor fi curățați cu precizie.,"Tí, čo sú proti, budú presne olúpení.",De som motsätter sig kommer att skalas med precision.,Karşı çıkanlar hassasiyetle soyulacak.,Những kẻ chống đối sẽ bị bóc vỏ với độ chính xác.,Those against will be peeled with precision.,Those against will be peeled with precision.,Those against will be peeled with precision.,Those against will be peeled with precision.,Those against will be peeled with precision.,Those against will be peeled with precision.,Those against will be peeled with precision.,Those against will be peeled with precision.,Those against will be peeled with precision.,Those against will be peeled with precision.,Those against will be peeled with precision.,Those against will be peeled with precision.
dialogue_warnings_2,Line-jumpers sent to Express Processing.,Narušitelé fronty budou posláni do Expresního zpracování.,Køovertræderen sendes til Expresbehandling.,Warteschlangenspringer werden zum Express-Verarbeitung geschickt.,Colados enviados a Procesamiento Express.,Jonon rikkojat lähetetään Pikavalmisteluun.,Les resquilleurs sont envoyés au Traitement Express.,A sor megsértőit Expressz Feldolgozásba küldik.,Penerobos antrian dikirim ke Pemrosesan Kilat.,I saltafila vengono inviati all'Elaborazione Espressa.,Rij-doorbrekers worden naar Express Verwerking gestuurd.,Køovertredere sendes til Ekspress Behandling.,Osoby łamiące kolejkę są wysyłane do Ekspresowego Przetwarzania.,Furadores de fila são enviados para Processamento Expresso.,Cei care calcă în picioare coada sunt trimiși la Procesare Expres.,Narušitelia radu sú poslaní do Expresného spracovania.,Kökravallare skickas till Expressberedning.,Sıra atlayan kişiler Hızlı İşleme gönderilir.,Những kẻ xen vào hàng sẽ bị gửi đến Xử Lý Nhanh.,Line-jumpers sent to Express Processing.,Line-jumpers sent to Express Processing.,Line-jumpers sent to Express Processing.,Line-jumpers sent to Express Processing.,Line-jumpers sent to Express Processing.,Line-jumpers sent to Express Processing.,Line-jumpers sent to Express Processing.,Line-jumpers sent to Express Processing.,Line-jumpers sent to Express Processing.,Line-jumpers sent to Express Processing.,Line-jumpers sent to Express Processing.,Line-jumpers sent to Express Processing.
dialogue_warnings_3,Queue disruption earns lectures on queues.,Narušení fronty vyvolá přednášky o frontách.,Køforstyrrelse udløser forelæsninger om køer.,Warteschlangenunterbrechung führt zu Vorträgen über Warteschlangen.,Interrumpir la cola genera conferencias sobre colas.,Jonon häirintä aiheuttaa luentoja jonoista.,Perturber la file déclenche des conférences sur les files.,A sor megzavarása előadásokat vált ki a sorokról.,Gangguan antrian memicu ceramah tentang antrian.,Disturbare la fila scatena lezioni sulle file.,Verstoring van de rij leidt tot colleges over rijen.,Forstyrrelse av køen utløser forelesninger om køer.,Zakłócenie kolejki wywołuje wykłady o kolejkach.,Perturbar a fila desencadeia palestras sobre filas.,Întreruperea cozii declanșează prelegeri despre cozi.,Narušenie radu vyvolá prednášky o radoch.,Köstörning utlöser föreläsningar om köer.,"Sırayı bozma, sıralar hakkında konferans doğurur.",Phá vỡ hàng đợi kích hoạt các bài giảng về hàng đợi.,Queue disruption earns lectures on queues.,Queue disruption earns lectures on queues.,Queue disruption earns lectures on queues.,Queue disruption earns lectures on queues.,Queue disruption earns lectures on queues.,Queue disruption earns lectures on queues.,Queue disruption earns lectures on queues.,Queue disruption earns lectures on queues.,Queue disruption earns lectures on queues.,Queue disruption earns lectures on queues.,Queue disruption earns lectures on queues.,Queue disruption earns lectures on queues.
dialogue_warnings_4,Insubordination leads to Room With Hot Oil.,Neposlušnost vede do Místnosti s horkým olejem.,Ulydighed fører til Rum med Varmeolien.,Ungehorsam führt zum Raum mit heißem Öl.,La insubordinación lleva a la Sala del Aceite Caliente.,Tottelemattomuus johtaa Kuuman Öljyn Huoneeseen.,L'insubordination mène à la Salle à l'Huile Chaude.,A engedetlenség a Forró Olaj Szobájába vezet.,Pembangkangan menuju Ruang Minyak Panas.,L'insubordinazione conduce alla Stanza dell'Olio Caldo.,Ongehoorzaamheid leidt naar Kamer met Heet Olie.,Ulydighet fører til Rommet med Varm Olje.,Nieposłuszeństwo prowadzi do Pokoju Gorącego Oleju.,A insubordinação leva à Sala do Óleo Quente.,Insubordinarea duce la Camera cu Ulei Fierbinte.,Neposlušnosť vedie do Miestnosti s horúcim olejom.,Olydnad leder till Rummet med Het Olja.,İtaatsizlik Sıcak Yağ Odasına götürür.,Sự bất tuân dẫn đến Phòng Dầu Nóng.,Insubordination leads to Room With Hot Oil.,Insubordination leads to Room With Hot Oil.,Insubordination leads to Room With Hot Oil.,Insubordination leads to Room With Hot Oil.,Insubordination leads to Room With Hot Oil.,Insubordination leads to Room With Hot Oil.,Insubordination leads to Room With Hot Oil.,Insubordination leads to Room With Hot Oil.,Insubordination leads to Room With Hot Oil.,Insubordination leads to Room With Hot Oil.,Insubordination leads to Room With Hot Oil.,Insubordination leads to Room With Hot Oil.
dialogue_warnings_5,"We don't have to be fair, just organized.","Nemusíme být spravedliví, jen organizovaní.","Vi behøver ikke at være retfærdige, bare organiserede.","Wir müssen nicht fair sein, nur organisiert.","No tenemos que ser justos, solo organizados.","Meidän ei tarvitse olla reiluja, vain järjestäytyneitä.","Nous n'avons pas besoin d'être justes, juste organisés.","Nem kell igazságosnak lennünk, csak szervezettnek.","Kita tidak perlu adil, cukup terorganisir.","Non dobbiamo essere giusti, solo organizzati.","We hoeven niet eerlijk te zijn, alleen georganiseerd.","Vi trenger ikke å være rettferdige, bare organiserte.","Nie musimy być sprawiedliwi, tylko zorganizowani.","Não precisamos ser justos, apenas organizados.","Nu trebuie să fim corecți, doar organizați.","Nemusíme byť spravodliví, len organizovaní.","Vi behöver inte vara rättvisa, bara organiserade.","Adil olmak zorunda değiliz, sadece organize.","Chúng tôi không cần phải công bằng, chỉ cần tổ chức.","We don't have to be fair, just organized.","We don't have to be fair, just organized.","We don't have to be fair, just organized.","We don't have to be fair, just organized.","We don't have to be fair, just organized.","We don't have to be fair, just organized.","We don't have to be fair, just organized.","We don't have to be fair, just organized.","We don't have to be fair, just organized.","We don't have to be fair, just organized.","We don't have to be fair, just organized.","We don't have to be fair, just organized."
dialogue_warnings_6,The Committee for Spud Compliance sees all.,Výbor pro dodržování předpisů brambor vidí vše.,Komiteen for Kartoffel Overholdelse ser alt.,Der Ausschuss für Kartoffel-Compliance sieht alles.,El Comité de Cumplimiento de Patatas lo ve todo.,Perunan Noudattamisen Komitea näkee kaiken.,Le Comité de Conformité des Pommes de Terre voit tout.,A Burgonya Megfelelőségi Bizottság mindent lát.,Komite Kepatuhan Kentang melihat segalanya.,Il Comitato per la Conformità delle Patate vede tutto.,Het Comité voor Aardappel Conformiteit ziet alles.,Komiteen for Potet Overholdelse ser alt.,Komitet Zgodności Ziemniaka widzi wszystko.,O Comitê de Conformidade da Batata vê tudo.,Comitetul de Conformitate a Cartofilor vede totul.,Výbor pre dodržiavanie predpisov zemiakov vidí všetko.,Potatisöverensstämmelseutskottet ser allt.,Patates Uyum Komitesi her şeyi görür.,Ủy Ban Tuân Thủ Khoai Tây nhìn thấy tất cả.,The Committee for Spud Compliance sees all.,The Committee for Spud Compliance sees all.,The Committee for Spud Compliance sees all.,The Committee for Spud Compliance sees all.,The Committee for Spud Compliance sees all.,The Committee for Spud Compliance sees all.,The Committee for Spud Compliance sees all.,The Committee for Spud Compliance sees all.,The Committee for Spud Compliance sees all.,The Committee for Spud Compliance sees all.,The Committee for Spud Compliance sees all.,The Committee for Spud Compliance sees all.
dialogue_warnings_7,Troublemakers: mashed without butter.,Původci problémů: rozmačkáni bez másla.,Bøvlere: knust uden smør.,Unruhestifter: Zerdrückt ohne Butter.,Alborotadores: machacados sin mantequilla.,Hankaluuden aiheuttajat: murskattu ilman voita.,Fauteurs de troubles : écrasés sans beurre.,Bajkeverők: vaj nélkül összezúzva.,Pembuat masalah: diremukkan tanpa mentega.,Disturbatori: schiacciati senza burro.,Lastpakken: verpletterd zonder boter.,Bråkmakere: knust uten smør.,Kłopotliwcy: zmiażdżeni bez masła.,Perturbadores: esmagados sem manteiga.,Deranjatorii: zdrobiți fără unt.,Pôvodcovia problémov: rozdrvení bez masla.,Bråkmakare: krossade utan smör.,Sorun çıkaranlar: tereyağsız ezilir.,Những kẻ gây rối: bị nghiền nát không cần bơ.,Troublemakers: mashed without butter.,Troublemakers: mashed without butter.,Troublemakers: mashed without butter.,Troublemakers: mashed without butter.,Troublemakers: mashed without butter.,Troublemakers: mashed without butter.,Troublemakers: mashed without butter.,Troublemakers: mashed without butter.,Troublemakers: mashed without butter.,Troublemakers: mashed without butter.,Troublemakers: mashed without butter.,Troublemakers: mashed without butter.
dialogue_warnings_8,Chaos causers become hash browns. Quickly.,Původci chaosu se stanou hashbrowns. Rychle.,Kaosmagere bliver til hashbrowns. Hurtigt.,Chaosverursacher werden zu Rösti. Schnell.,Causantes de caos se convierten en hash browns. Rápidamente.,Kaaoksen luojista tulee ranskanperunoita. Nopeasti.,Les créateurs de chaos deviennent des röstis. Rapidement.,A káosz okozói gyorsan hasáburgonnyává válnak.,Pencetus kekacauan menjadi kentang goreng. Cepat.,I creatori di caos diventano hash browns. Rapidamente.,Chaosmakers worden hash browns. Snel.,Kaosmagere blir til hash browns. Raskt.,Sprawcy chaosu stają się hash browns. Szybko.,Criadores de caos se tornam batatas fritas. Rapidamente.,Creatorii de haos devin cartofi prăjiți. Rapid.,Tvorcovia chaosu sa stanú zemiakmi na hash. Rýchlo.,Kaosalstrare blir hash browns. Snabbt.,Kaos yaratanlar hemen hash brown olur.,Những kẻ gây hỗn loạn trở thành khoai chiên. Nhanh chóng.,Chaos causers become hash browns. Quickly.,Chaos causers become hash browns. Quickly.,Chaos causers become hash browns. Quickly.,Chaos causers become hash browns. Quickly.,Chaos causers become hash browns. Quickly.,Chaos causers become hash browns. Quickly.,Chaos causers become hash browns. Quickly.,Chaos causers become hash browns. Quickly.,Chaos causers become hash browns. Quickly.,Chaos causers become hash browns. Quickly.,Chaos causers become hash browns. Quickly.,Chaos causers become hash browns. Quickly.
dialogue_warnings_9,Rule-breakers face twice-baked status.,Porušovatelé pravidel čelí statusu pečenému dvakrát.,Regelbrydere møder dobbeltbagt status.,Regelbrecher erhalten den Zweimal-Gebacken-Status.,Infractores enfrentan estatus de doble cocción.,Sääntöjen rikkojat kohtaavat kahdesti paistetun kohtalon.,Les contrevenants font face au statut de double cuisson.,A szabályszegők kétszer sült státuszt kapnak.,Pelanggar aturan menghadapi status digoreng dua kali.,I trasgressori affrontano lo status di doppia cottura.,Regelovertreders krijgen status van tweemaal gebakken.,Regelbrytere møter dobbeltsteikt status.,Łamacze reguł spotykają się z podwójnie pieczonym statusem.,Infratores enfrentam status de dupla fritura.,Încălcătorii de regulă întâlnesc statutul de dublu prăjit.,Porušovatelia pravidiel čelia statusu dvakrát pečeného.,Regelbrytare möter dubbelbakad status.,Kural bozanlar çift kızartılmış statüye maruz kalır.,Những kẻ vi phạm quy tắc phải đối mặt với trạng thái nướng hai lần.,Rule-breakers face twice-baked status.,Rule-breakers face twice-baked status.,Rule-breakers face twice-baked status.,Rule-breakers face twice-baked status.,Rule-breakers face twice-baked status.,Rule-breakers face twice-baked status.,Rule-breakers face twice-baked status.,Rule-breakers face twice-baked status.,Rule-breakers face twice-baked status.,Rule-breakers face twice-baked status.,Rule-breakers face twice-baked status.,Rule-breakers face twice-baked status.
dialogue_warnings_10,Queue Auditors have flagged your existence.,Auditoři fronty zaznamenali vaši existenci.,Køauditorerne har registreret din eksistens.,Warteschlangen-Prüfer haben deine Existenz markiert.,Auditores de Cola han marcado tu existencia.,Jonojen Tarkastajat ovat merkinneet olemassaolosi.,Les Auditeurs de File ont marqué ton existence.,A Sor Ellenőrei rögzítették a létezésedet.,Auditor Antrian telah mencatat eksistensimu.,Gli Ispettori di Fila hanno contrassegnato la tua esistenza.,Rij-auditors hebben je bestaan gemarkeerd.,Køauditorene har registrert din eksistens.,Audytorzy Kolejki zaznaczyli twoją egzystencję.,Auditores de Fila marcaram tua existência.,Auditorii Cozii ți-au marcat existența.,Audítori radu zaznamenali tvoju existenciu.,Köauditörer har markerat din existens.,Sıra Denetçileri varlığını işaretledi.,Các Kiểm Toán Viên Hàng Đợi đã đánh dấu sự tồn tại của bạn.,Queue Auditors have flagged your existence.,Queue Auditors have flagged your existence.,Queue Auditors have flagged your existence.,Queue Auditors have flagged your existence.,Queue Auditors have flagged your existence.,Queue Auditors have flagged your existence.,Queue Auditors have flagged your existence.,Queue Auditors have flagged your existence.,Queue Auditors have flagged your existence.,Queue Auditors have flagged your existence.,Queue Auditors have flagged your existence.,Queue Auditors have flagged your existence.
dialogue_warnings_11,Your file: marked with THE red stamp.,Váš spis: označen ČERVENÝM razítkem.,Din mappe: markeret med DET røde stempel.,Deine Akte: gekennzeichnet mit dem ROTEN Stempel.,Tu expediente: marcado con el sello ROJO.,Kansiotasi: merkitty PUNAISELLA leimalla.,Ton dossier : marqué du tampon ROUGE.,A dossziéd: a PIROS pecséttel megjelölve.,Berkasmu: ditandai dengan stempel MERAH.,Il tuo fascicolo: marcato con il timbro ROSSO.,Je dossier: gemarkeerd met de RODE stempel.,Din mappe: merket med DET røde stempelet.,Twoja teczka: oznaczona CZERWONĄ pieczęcią.,Teu arquivo: marcado com o carimbo VERMELHO.,Dosarul tău: marcat cu ștampila ROȘIE.,Tvoj spis: označený ČERVENOU pečiatkou.,Din akt: märkt med den RÖDA stämpeln.,Dosyan: KIRMIZI damgayla işaretlendi.,Hồ sơ của bạn: được đánh dấu bằng con dấu ĐỎ.,Your file: marked with THE red stamp.,Your file: marked with THE red stamp.,Your file: marked with THE red stamp.,Your file: marked with THE red stamp.,Your file: marked with THE red stamp.,Your file: marked with THE red stamp.,Your file: marked with THE red stamp.,Your file: marked with THE red stamp.,Your file: marked with THE red stamp.,Your file: marked with THE red stamp.,Your file: marked with THE red stamp.,Your file: marked with THE red stamp.
dialogue_misc_1,Where is everyone?,Kde jsou všichni?,Hvor er alle?,Wo sind alle?,¿Dónde está todo el mundo?,Missä kaikki ovat?,Où est tout le monde ?,Hol van mindenki?,Di mana semua orang?,Dove sono tutti?,Waar is iedereen?,Hvor er alle?,Gdzie wszyscy są?,Onde estão todos?,Unde sunt toți?,Kde sú všetci?,Var är alla?,Herkes nerede?,Mọi người ở đâu?,Where is everyone?,Where is everyone?,Where is everyone?,Where is everyone?,Where is everyone?,Where is everyone?,Where is everyone?,Where is everyone?,Where is everyone?,Where is everyone?,Where is everyone?,Where is everyone?
dialogue_misc_2,Emergency? Continue waiting in order.,Nouze? Pokračujte v čekání v pořadí.,Nødsituation? Fortsæt med at vente i rækkefølge.,Notfall? Weiter warten in Reihenfolge.,¿Emergencia? Continúa esperando en orden.,Hätätilanne? Jatka odottamista järjestyksessä.,Urgence ? Continue d'attendre en ordre.,Vészhelyzet? Folytasd a várakozást a sorrendben.,Darurat? Terus menunggu sesuai urutan.,Emergenza? Continua ad aspettare in ordine.,Noodgeval? Ga door met wachten in volgorde.,Nødsituasjon? Fortsett å vente i rekkefølge.,Sytuacja awaryjna? Kontynuuj czekanie w kolejności.,Emergência? Continue esperando em ordem.,Urgență? Continuă să aștepți în ordine.,Núdzový stav? Pokračuj v čakaní v poradí.,Nödsituation? Fortsätt vänta i ordning.,Acil durum? Sırada kalmaya devam et.,Tình trạng khẩn cấp? Tiếp tục chờ đợi theo thứ tự.,Emergency? Continue waiting in order.,Emergency? Continue waiting in order.,Emergency? Continue waiting in order.,Emergency? Continue waiting in order.,Emergency? Continue waiting in order.,Emergency? Continue waiting in order.,Emergency? Continue waiting in order.,Emergency? Continue waiting in order.,Emergency? Continue waiting in order.,Emergency? Continue waiting in order.,Emergency? Continue waiting in order.,Emergency? Continue waiting in order.
dialogue_misc_3,Read paragraph seven of waiting agreement?,Přečetli jste sedmý odstavec dohody o čekání?,Har du læst paragraf syv i venteaftalen?,Absatz sieben der Wartevereinbarung gelesen?,¿Has leído el párrafo siete del acuerdo de espera?,Luettiinko seitsemäs kappale odotussopimuksesta?,As-tu lu le paragraphe sept de l'accord d'attente ?,Elolvastad a várakozási megállapodás hetedik bekezdését?,Sudahkah membaca paragraf tujuh perjanjian menunggu?,Hai letto il paragrafo sette dell'accordo di attesa?,Heb je paragraaf zeven van de wachtovereenkomst gelezen?,Har du lest paragraf syv i venteavtalen?,Czy przeczytałeś paragraf siódmy umowy oczekiwania?,Leste o parágrafo sete do acordo de espera?,Ai citit paragraful șapte din acordul de așteptare?,Prečítal si siedmy odsek dohody o čakaní?,Har du läst stycke sju i vänteöverenskommelsen?,Bekleme sözleşmesinin yedinci paragrafını okudun mu?,Bạn đã đọc đoạn thứ bảy của thỏa thuận chờ đợi chưa?,Read paragraph seven of waiting agreement?,Read paragraph seven of waiting agreement?,Read paragraph seven of waiting agreement?,Read paragraph seven of waiting agreement?,Read paragraph seven of waiting agreement?,Read paragraph seven of waiting agreement?,Read paragraph seven of waiting agreement?,Read paragraph seven of waiting agreement?,Read paragraph seven of waiting agreement?,Read paragraph seven of waiting agreement?,Read paragraph seven of waiting agreement?,Read paragraph seven of waiting agreement?
dialogue_misc_4,"Lost property: found, taxed, misplaced.","Ztracený majetek: nalezen, zdaněn, ztracen.","Bortkommet ejendom: fundet, beskattet, forlagt.","Verlorenes Eigentum: gefunden, besteuert, verlegt.","Propiedad perdida: encontrada, gravada, extraviada.","Kadonnut omaisuus: löydetty, verotettu, unohdettu.","Propriété perdue : trouvée, taxée, égarée.","Elveszett tulajdon: megtalálva, megadóztatva, elhagyva.","Barang hilang: ditemukan, dikenai pajak, disimpan.","Proprietà smarrita: trovata, tassata, smarrita.","Verloren eigendom: gevonden, belast, zoekgeraakt.","Bortkommet eiendom: funnet, beskattet, borlagt.","Zgubiona własność: znaleziona, opodatkowana, zgubiona.","Propriedade perdida: encontrada, tributada, extraviada.","Proprietate pierdută: găsită, impozitată, rătăcită.","Stratený majetok: nájdený, zdanený, stratený.","Förlorad egendom: funnen, beskattad, borttappad.","Kayıp mülk: bulundu, vergilendirildi, kaybedildi.","Tài sản bị mất: được tìm thấy, bị đánh thuế, bị thất lạc.","Lost property: found, taxed, misplaced.","Lost property: found, taxed, misplaced.","Lost property: found, taxed, misplaced.","Lost property: found, taxed, misplaced.","Lost property: found, taxed, misplaced.","Lost property: found, taxed, misplaced.","Lost property: found, taxed, misplaced.","Lost property: found, taxed, misplaced.","Lost property: found, taxed, misplaced.","Lost property: found, taxed, misplaced.","Lost property: found, taxed, misplaced.","Lost property: found, taxed, misplaced."
dialogue_misc_5,"If a spud complains, does it make sound?","Když si brambor stěžuje, vydává zvuk?","Hvis en knold klager, lyder den?","Wenn eine Knolle sich beschwert, macht sie dann einen Ton?","Si una patata se queja, ¿produce sonido?","Jos peruna valittaa, kuuluuko ääni?","Si une pomme de terre se plaint, fait-elle du bruit ?","Ha egy burgonya panaszkodik, ad-e hangot?","Jika kentang mengeluh, apakah bersuara?","Se una patata si lamenta, produce un suono?","Als een aardappel klaagt, maakt hij dan geluid?","Hvis en potet klager, lager den lyd?","Jeśli ziemniak narzeka, czy wydaje dźwięk?","Se uma batata reclama, produz som?","Dacă un cartof reclamă, face vreun sunet?","Keď sa zemiak sťažuje, vydáva zvuk?","Om en potatis klagar, låter den?","Bir patates şikayet ederse, ses çıkarır mı?","Nếu một quả khoai than phiền, liệu nó có phát ra âm thanh không?","If a spud complains, does it make sound?","If a spud complains, does it make sound?","If a spud complains, does it make sound?","If a spud complains, does it make sound?","If a spud complains, does it make sound?","If a spud complains, does it make sound?","If a spud complains, does it make sound?","If a spud complains, does it make sound?","If a spud complains, does it make sound?","If a spud complains, does it make sound?","If a spud complains, does it make sound?","If a spud complains, does it make sound?"
dialogue_misc_6,Light replaced with sign: 'More Tunnel.',Světlo nahrazeno cedulí: 'Více tunelu.',Lys erstattet med skilt: 'Mere Tunnel.',Licht ersetzt durch Schild: 'Mehr Tunnel.',Luz reemplazada con cartel: 'Más Túnel.',Valo korvattu kyltillä: 'Lisää Tunnelia.',Lumière remplacée par un panneau : 'Plus de Tunnel.',A fény egy táblával helyettesítve: 'Több Alagút.',Cahaya diganti papan: 'Lebih Terowongan.',Luce sostituita da un cartello: 'Più Tunnel.',Licht vervangen door bord: 'Meer Tunnel.',Lys erstattet med skilt: 'Mer Tunnel.',Światło zastąpione tabliczką: 'Więcej Tunelu.',Luz substituída por placa: 'Mais Túnel.',Lumina înlocuită cu un panou: 'Mai mult Tunel.',Svetlo nahradené tabuľou: 'Viac tunelov.',Ljus ersatt med skylt: 'Mer Tunnel.',"Işık, 'Daha Fazla Tünel' tabelasıyla değiştirildi.",Ánh sáng được thay thế bằng biển báo: 'Thêm Đường Hầm.',Light replaced with sign: 'More Tunnel.',Light replaced with sign: 'More Tunnel.',Light replaced with sign: 'More Tunnel.',Light replaced with sign: 'More Tunnel.',Light replaced with sign: 'More Tunnel.',Light replaced with sign: 'More Tunnel.',Light replaced with sign: 'More Tunnel.',Light replaced with sign: 'More Tunnel.',Light replaced with sign: 'More Tunnel.',Light replaced with sign: 'More Tunnel.',Light replaced with sign: 'More Tunnel.',Light replaced with sign: 'More Tunnel.'
dialogue_misc_7,Death is temporary. Bureaucracy is forever.,Smrt je dočasná. Byrokracie je věčná.,Døden er midlertidig. Bureaukrati er evigt.,Der Tod ist vorübergehend. Bürokratie ist ewig.,La muerte es temporal. La burocracia es eternal.,Kuolema on tilapäinen. Byrokratia on ikuinen.,La mort est temporaire. La bureaucratie est éternelle.,A halál múlandó. A bürokrácia örök.,Kematian bersifat sementara. Birokrasi abadi.,La morte è temporanea. La burocrazia è eterna.,Dood is tijdelijk. Bureaucratie is eeuwig.,Døden er midlertidig. Byråkrati er evig.,Śmierć jest tymczasowa. Biurokracja jest wieczna.,A morte é temporária. A burocracia é eterna.,Moartea este temporară. Birocrația este eternă.,Smrť je dočasná. Byrokracia je večná.,Döden är tillfällig. Byråkratin är evig.,Ölüm geçicidir. Bürokrasi sonsuzdur.,Cái chết là tạm thời. Quan liêu là vĩnh hằng.,Death is temporary. Bureaucracy is forever.,Death is temporary. Bureaucracy is forever.,Death is temporary. Bureaucracy is forever.,Death is temporary. Bureaucracy is forever.,Death is temporary. Bureaucracy is forever.,Death is temporary. Bureaucracy is forever.,Death is temporary. Bureaucracy is forever.,Death is temporary. Bureaucracy is forever.,Death is temporary. Bureaucracy is forever.,Death is temporary. Bureaucracy is forever.,Death is temporary. Bureaucracy is forever.,Death is temporary. Bureaucracy is forever.
dialogue_misc_8,Filing system achieved sentience. Stay calm.,Systém ukládání spisů dosáhl vědomí. Zůstaňte v klidu.,Arkiveringssystemet har opnået bevidsthed. Bevar roen.,Ablagesystem hat Bewusstsein erlangt. Bleib ruhig.,El sistema de archivos ha alcanzado la conciencia. Mantén la calma.,Arkistointijärjestelmä on saavuttanut tajunnan. Pysy rauhallisena.,Le système d'archivage a atteint la conscience. Reste calme.,Az irattári rendszer tudatosságot ért el. Maradj nyugodt.,Sistem pengarsipan mencapai kesadaran. Tetap tenang.,Il sistema di archiviazione ha raggiunto la coscienza. Resta calmo.,Archiefstysteem heeft bewustzijn bereikt. Blijf kalm.,Arkiveringssystemet har oppnådd bevissthet. Behold roen.,System archiwizacji osiągnął świadomość. Pozostań spokojny.,O sistema de arquivo atingiu consciência. Mantenha a calma.,Sistemul de arhivare a atins conștiința. Rămâi calm.,Systém archivácie dosiahol vedomie. Zostaň pokojný.,Arkiveringssystemet har uppnått medvetenhet. Förbli lugn.,Arşivleme sistemi bilinç kazandı. Sakin kal.,Hệ thống lưu trữ đã đạt đến ý thức. Hãy bình tĩnh.,Filing system achieved sentience. Stay calm.,Filing system achieved sentience. Stay calm.,Filing system achieved sentience. Stay calm.,Filing system achieved sentience. Stay calm.,Filing system achieved sentience. Stay calm.,Filing system achieved sentience. Stay calm.,Filing system achieved sentience. Stay calm.,Filing system achieved sentience. Stay calm.,Filing system achieved sentience. Stay calm.,Filing system achieved sentience. Stay calm.,Filing system achieved sentience. Stay calm.,Filing system achieved sentience. Stay calm.
dialogue_misc_9,Today's lucky numbers mean nothing. Sorry.,Dnešní šťastná čísla nic neznamemají. Promiňte.,Dagens heldige numre betyder intet. Undskyld.,Die Glückszahlen des Tages bedeuten nichts. Entschuldigung.,Los números de la suerte de hoy no significan nada. Lo siento.,Tämän päivän onnenumerot eivät merkitse mitään. Pahoittelut.,Les numéros chanceux du jour ne signifient rien. Désolé.,A mai szerencseszámok semmit sem jelentenek. Elnézést.,Nomor keberuntungan hari ini tidak berarti apa-apa. Maaf.,I numeri fortunati di oggi non significano nulla. Mi scuso.,Vandaag's geluksnummers betekenen niets. Sorry.,Dagens heldige numre betyr ingenting. Unnskyld.,Dzisiejsze szczęśliwe numery nie znaczą nic. Przepraszam.,Os números da sorte de hoje não significam nada. Desculpe.,Numerele norocoase ale zilei nu înseamnă nimic. Scuze.,Šťastné čísla dňa nič neznamená. Prepáč.,Dagens lyckotal betyder ingenting. Förlåt.,Bugünün şans numaraları hiçbir şey ifade etmiyor. Özür dilerim.,Những con số may mắn của hôm nay không có ý nghĩa gì. Xin lỗi.,Today's lucky numbers mean nothing. Sorry.,Today's lucky numbers mean nothing. Sorry.,Today's lucky numbers mean nothing. Sorry.,Today's lucky numbers mean nothing. Sorry.,Today's lucky numbers mean nothing. Sorry.,Today's lucky numbers mean nothing. Sorry.,Today's lucky numbers mean nothing. Sorry.,Today's lucky numbers mean nothing. Sorry.,Today's lucky numbers mean nothing. Sorry.,Today's lucky numbers mean nothing. Sorry.,Today's lucky numbers mean nothing. Sorry.,Today's lucky numbers mean nothing. Sorry.
dialogue_misc_10,"Apocalypse? Take number, wait to vanish.","Apokalypsa? Vezměte si číslo, počkejte na zmizení.","Apokalypse? Tag et nummer, vent på at forsvinde.","Apokalypse? Nimm eine Nummer, warte auf das Verschwinden.","¿Apocalipsis? Toma un número, espera desaparecer.","Apokalypsi? Ota numero, odota häipymistä.","Apocalypse ? Prends un numéro, attends de disparaître.","Apokalipszis? Végy egy számot, várd a eltűnést.","Apocalypse? Ambil nomor, tunggu untuk menghilang.","Apocalisse? Prendi un numero, aspetta di svanire.","Apocalyps? Neem een nummer, wacht om te verdwijnen.","Apokalypse? Ta et nummer, vent på å forsvinne.","Apocalypse? Weź numer, czekaj na zniknięcie.","Apocalipse? Pegue um número, espere desaparecer.","Apocalipsă? Ia un număr, așteaptă să dispari.","Apokalypsa? Vezmi si číslo, počkaj na zmiznutie.","Apokalyps? Ta ett nummer, vänta på att försvinna.","Kıyamet mi? Bir numara al, yok olmayı bekle.","Khải huyền? Lấy một số, chờ để biến mất.","Apocalypse? Take number, wait to vanish.","Apocalypse? Take number, wait to vanish.","Apocalypse? Take number, wait to vanish.","Apocalypse? Take number, wait to vanish.","Apocalypse? Take number, wait to vanish.","Apocalypse? Take number, wait to vanish.","Apocalypse? Take number, wait to vanish.","Apocalypse? Take number, wait to vanish.","Apocalypse? Take number, wait to vanish.","Apocalypse? Take number, wait to vanish.","Apocalypse? Take number, wait to vanish.","Apocalypse? Take number, wait to vanish."
