keys,en,cs,da,de,es,fi,fr,hu,id,it,nl,no,pl,pt,ro,sk,sv,tr,vi,
rule_explanation_header,[b]RULE EXPLANATION:[/b],[b]VYSVĚTLENÍ PRAVIDLA:[/b],[b]REGEL FORKLARING:[/b],[b]REGEL ERKLÄRUNG:[/b],[b]EXPLICACIÓN DE REGLA:[/b],[b]SÄÄNNÖN SELITYS:[/b],[b]EXPLICATION DE RÈGLE:[/b],[b]SZABÁLY MAGYARÁZAT:[/b],[b]PENJELASAN ATURAN:[/b],[b]SPIEGAZIONE REGOLA:[/b],[b]REGEL UITLEG:[/b],[b]REGEL FORKLARING:[/b],[b]WYJAŚNIENIE ZASADY:[/b],[b]EXPLICAÇÃO DA REGRA:[/b],[b]EXPLICAȚIA REGULII:[/b],[b]VYSVETLENIE PRAVIDLA:[/b],[b]REGEL FÖRKLARING:[/b],[b]KURAL AÇIKLAMASI:[/b],[b]GIẢI THÍCH QUY TẮC:[/b],
rule_explanation_fresh,Look at the 'Condition' field. If it says anything other than 'Fresh' - REJECT,Podívejte se na pole 'Stav'. Pokud říká něco jiného než 'Čerstvý' - ODMÍTNOUT,Se på 'Tilstand' feltet. Hvis det siger noget andet end 'Frisk' - AFVIS,Schauen Sie auf das Feld 'Zustand'. Wenn es etwas anderes als 'Frisch' sagt - ABLEHNEN,Mira el campo 'Condición'. Si dice algo que no sea 'Fresco' - RECHAZAR,Katso 'Kunto' kenttää. Jos se sanoo jotain muuta kuin 'Tuore' - HYLKÄÄ,Regardez le champ 'Condition'. S'il dit autre chose que 'Frais' - REJETER,Nézze meg az 'Állapot' mezőt. Ha mást mond, mint 'Friss' - ELUTASÍTÁS,Lihat bidang 'Kondisi'. Jika mengatakan selain 'Segar' - TOLAK,Guarda il campo 'Condizione'. Se dice qualcosa di diverso da 'Fresco' - RIFIUTA,Kijk naar het veld 'Conditie'. Als het iets anders zegt dan 'Vers' - AFWIJZEN,Se på 'Tilstand' feltet. Hvis det sier noe annet enn 'Fersk' - AVVIS,Spójrz na pole 'Stan'. Jeśli mówi coś innego niż 'Świeży' - ODRZUĆ,Olhe para o campo 'Condição'. Se disser algo diferente de 'Fresco' - REJEITAR,Priviți câmpul 'Condiție'. Dacă spune altceva decât 'Proaspăt' - RESPINGE,Pozrite sa na pole 'Stav'. Ak hovorí niečo iné ako 'Čerstvý' - ODMIETNUŤ,Titta på fältet 'Tillstånd'. Om det säger något annat än 'Färsk' - AVVISA,Duruma' alanına bakın. 'Taze' dışında bir şey söylüyorsa - REDDET,Nhìn vào trường 'Tình trạng'. Nếu nó nói gì khác ngoài 'Tươi' - TỪ CHỐI
rule_explanation_sweet_potato,Look at the 'Type' field. If it says 'Sweet Potato' - REJECT (no permits),Podívejte se na pole 'Typ'. Pokud říká 'Sladká brambora' - ODMÍTNOUT (žádná povolení),Se på 'Type' feltet. Hvis det siger 'Sød Kartoffel' - AFVIS (ingen tilladelser),Schauen Sie auf das Feld 'Typ'. Wenn es 'Süßkartoffel' sagt - ABLEHNEN (keine Genehmigungen),Mira el campo 'Tipo'. Si dice 'Batata' - RECHAZAR (sin permisos),Katso 'Tyyppi' kenttää. Jos se sanoo 'Bataatti' - HYLKÄÄ (ei lupia),Regardez le champ 'Type'. S'il dit 'Patate Douce' - REJETER (pas de permis),Nézze meg a 'Típus' mezőt. Ha azt mondja 'Édesburgonya' - ELUTASÍTÁS (nincs engedély),Lihat bidang 'Jenis'. Jika mengatakan 'Ubi Jalar' - TOLAK (tidak ada izin),Guarda il campo 'Tipo'. Se dice 'Patata Dolce' - RIFIUTA (nessun permesso),Kijk naar het veld 'Type'. Als het 'Zoete Aardappel' zegt - AFWIJZEN (geen vergunningen),Se på 'Type' feltet. Hvis det sier 'Søtpotet' - AVVIS (ingen tillatelser),Spójrz na pole 'Typ'. Jeśli mówi 'Słodki Ziemniak' - ODRZUĆ (brak zezwoleń),Olhe para o campo 'Tipo'. Se disser 'Batata Doce' - REJEITAR (sem licenças),Priviți câmpul 'Tip'. Dacă spune 'Cartof Dulce' - RESPINGE (fără permise),Pozrite sa na pole 'Typ'. Ak hovorí 'Sladký Zemiak' - ODMIETNUŤ (žiadne povolenia),Titta på fältet 'Typ'. Om det säger 'Sötpotatis' - AVVISA (inga tillstånd),Tür' alanına bakın. 'Tatlı Patates' diyorsa - REDDET (izin yok),Nhìn vào trường 'Loại'. Nếu nó nói 'Khoai Lang' - TỪ CHỐI (không có giấy phép),
rule_explanation_chip_hill,Look at the 'Country' field. If it says 'Chip Hill' - REJECT (banned),Podívejte se na pole 'Země'. Pokud říká 'Chip Hill' - ODMÍTNOUT (zakázáno),Se på 'Land' feltet. Hvis det siger 'Chip Hill' - AFVIS (forbudt),Schauen Sie auf das Feld 'Land'. Wenn es 'Chip Hill' sagt - ABLEHNEN (verboten),Mira el campo 'País'. Si dice 'Chip Hill' - RECHAZAR (prohibido),Katso 'Maa' kenttää. Jos se sanoo 'Chip Hill' - HYLKÄÄ (kielletty),Regardez le champ 'Pays'. S'il dit 'Chip Hill' - REJETER (interdit),Nézze meg az 'Ország' mezőt. Ha azt mondja 'Chip Hill' - ELUTASÍTÁS (tiltott),Lihat bidang 'Negara'. Jika mengatakan 'Chip Hill' - TOLAK (dilarang),Guarda il campo 'Paese'. Se dice 'Chip Hill' - RIFIUTA (vietato),Kijk naar het veld 'Land'. Als het 'Chip Hill' zegt - AFWIJZEN (verboden),Se på 'Land' feltet. Hvis det sier 'Chip Hill' - AVVIS (forbudt),Spójrz na pole 'Kraj'. Jeśli mówi 'Chip Hill' - ODRZUĆ (zabronione),Olhe para o campo 'País'. Se disser 'Chip Hill' - REJEITAR (proibido),Priviți câmpul 'Țară'. Dacă spune 'Chip Hill' - RESPINGE (interzis),Pozrite sa na pole 'Krajina'. Ak hovorí 'Chip Hill' - ODMIETNUŤ (zakázané),Titta på fältet 'Land'. Om det säger 'Chip Hill' - AVVISA (förbjudet),Ülke' alanına bakın. 'Chip Hill' diyorsa - REDDET (yasak),Nhìn vào trường 'Quốc gia'. Nếu nó nói 'Chip Hill' - TỪ CHỐI (bị cấm),
rule_explanation_age,Look at 'Born' field. Calculate age and check against rule,Podívejte se na pole 'Datum narození'. Vypočítejte věk a zkontrolujte podle pravidla,Se på 'Fødselsdato' feltet. Beregn alder og tjek mod regel,Schauen Sie auf das Feld 'Geburtsdatum'. Berechnen Sie das Alter und prüfen Sie gegen die Regel,Mira el campo 'Fecha de Nacimiento'. Calcula la edad y verifica contra la regla,Katso 'Syntymäaika' kenttää. Laske ikä ja tarkista sääntöä vastaan,Regardez le champ 'Date de Naissance'. Calculez l'âge et vérifiez par rapport à la règle,Nézze meg a 'Születési dátum' mezőt. Számítsa ki az életkort és ellenőrizze a szabály szerint,Lihat bidang 'Tanggal Lahir'. Hitung umur dan periksa terhadap aturan,Guarda il campo 'Data di Nascita'. Calcola l'età e controlla contro la regola,Kijk naar het veld 'Geboortedatum'. Bereken de leeftijd en controleer tegen de regel,Se på 'Fødselsdato' feltet. Beregn alder og sjekk mot regel,Spójrz na pole 'Data Urodzenia'. Oblicz wiek i sprawdź względem reguły,Olhe para o campo 'Data de Nascimento'. Calcule a idade e verifique contra a regra,Priviți câmpul 'Data Nașterii'. Calculați vârsta și verificați împotriva regulii,Pozrite sa na pole 'Dátum narodenia'. Vypočítajte vek a skontrolujte podľa pravidla,Titta på fältet 'Födelsedatum'. Beräkna ålder och kontrollera mot regel,Doğum Tarihi' alanına bakın. Yaşı hesaplayın ve kurala göre kontrol edin,Nhìn vào trường 'Ngày Sinh'. Tính tuổi và kiểm tra theo quy tắc,
rule_explanation_gender,Look at the 'Gender' field and check against current rule,Podívejte se na pole 'Pohlaví' a zkontrolujte podle aktuálního pravidla,Se på 'Køn' feltet og tjek mod nuværende regel,Schauen Sie auf das Feld 'Geschlecht' und prüfen Sie gegen die aktuelle Regel,Mira el campo 'Género' y verifica contra la regla actual,Katso 'Sukupuoli' kenttää ja tarkista nykyistä sääntöä vastaan,Regardez le champ 'Genre' et vérifiez par rapport à la règle actuelle,Nézze meg a 'Nem' mezőt és ellenőrizze az aktuális szabály szerint,Lihat bidang 'Gender' dan periksa terhadap aturan saat ini,Guarda il campo 'Genere' e controlla contro la regola attuale,Kijk naar het veld 'Geslacht' en controleer tegen de huidige regel,Se på 'Kjønn' feltet og sjekk mot gjeldende regel,Spójrz na pole 'Płeć' i sprawdź względem bieżącej reguły,Olhe para o campo 'Gênero' e verifique contra a regra atual,Priviți câmpul 'Gen' și verificați împotriva regulii actuale,Pozrite sa na pole 'Pohlavie' a skontrolujte podľa aktuálneho pravidla,Titta på fältet 'Kön' och kontrollera mot nuvarande regel,Cinsiyet' alanına bakın ve mevcut kurala göre kontrol edin,Nhìn vào trường 'Giới tính' và kiểm tra theo quy tắc hiện tại,
rule_footer_text,These rules must be enforced for ALL potatoes,Tato pravidla musí být vynucována pro VŠECHNY brambory,Disse regler skal håndhæves for ALLE kartofler,Diese Regeln müssen für ALLE Kartoffeln durchgesetzt werden,Estas reglas deben aplicarse para TODAS las papas,Nämä säännöt on pakko panna täytäntöön KAIKILLE perunoille,Ces règles doivent être appliquées pour TOUTES les pommes de terre,Ezeket a szabályokat MINDEN krumplira be kell tartatni,Aturan ini harus ditegakkan untuk SEMUA kentang,Queste regole devono essere applicate per TUTTE le patate,Deze regels moeten worden gehandhaafd voor ALLE aardappelen,Disse reglene må håndheves for ALLE poteter,Te zasady muszą być egzekwowane dla WSZYSTKICH ziemniaków,Essas regras devem ser aplicadas para TODAS as batatas,Aceste reguli trebuie aplicate pentru TOȚI cartofii,Tieto pravidlá sa musia presadzovať pre VŠETKY zemiaky,Dessa regler måste tillämpas för ALLA potatisar,Bu kurallar TÜM patatesler için uygulanmalıdır,Những quy tắc này phải được thực thi cho TẤT CẢ khoai tây,
rule_tutorial_hint,Need help? Click on any rule for an explanation,Potřebujete pomoc? Klikněte na jakékoli pravidlo pro vysvětlení,Brug for hjælp? Klik på enhver regel for en forklaring,Brauchen Sie Hilfe? Klicken Sie auf eine Regel für eine Erklärung,¿Necesitas ayuda? Haz clic en cualquier regla para una explicación,Tarvitsetko apua? Napsauta mitä tahansa sääntöä selitystä varten,Besoin d'aide? Cliquez sur n'importe quelle règle pour une explication,Segítségre van szüksége? Kattintson bármely szabályra a magyarázatért,Butuh bantuan? Klik aturan apa pun untuk penjelasan,Hai bisogno di aiuto? Clicca su qualsiasi regola per una spiegazione,Hulp nodig? Klik op elke regel voor een uitleg,Trenger du hjelp? Klikk på hvilken som helst regel for en forklaring,Potrzebujesz pomocy? Kliknij dowolną zasadę, aby uzyskać wyjaśnienie,Precisa de ajuda? Clique em qualquer regra para uma explicação,Ai nevoie de ajutor? Faceți clic pe orice regulă pentru o explicație,Potrebujete pomoc? Kliknite na akékoľvek pravidlo pre vysvetlenie,Behöver du hjälp? Klicka på vilken regel som helst för en förklaring,Yardıma mı ihtiyacınız var? Açıklama için herhangi bir kurala tıklayın,Cần giúp đỡ? Nhấp vào bất kỳ quy tắc nào để có lời giải thích
alert_correct_decision_detailed,CORRECT DECISION! +{points} points\n{reason},SPRÁVNÉ ROZHODNUTÍ! +{points} bodů\n{reason},KORREKT BESLUTNING! +{points} point\n{reason},RICHTIGE ENTSCHEIDUNG! +{points} Punkte\n{reason},¡DECISIÓN CORRECTA! +{points} puntos\n{reason},OIKEA PÄÄTÖS! +{points} pistettä\n{reason},BONNE DÉCISION! +{points} points\n{reason},HELYES DÖNTÉS! +{points} pont\n{reason},KEPUTUSAN BENAR! +{points} poin\n{reason},DECISIONE CORRETTA! +{points} punti\n{reason},JUISTE BESLISSING! +{points} punten\n{reason},RIKTIG BESLUTNING! +{points} poeng\n{reason},POPRAWNA DECYZJA! +{points} punktów\n{reason},DECISÃO CORRETA! +{points} pontos\n{reason},DECIZIE CORECTĂ! +{points} puncte\n{reason},SPRÁVNE ROZHODNUTIE! +{points} bodov\n{reason},RÄTT BESLUT! +{points} poäng\n{reason},DOĞRU KARAR! +{points} puan\n{reason},QUYẾT ĐỊNH ĐÚNG! +{points} điểm\n{reason},
alert_wrong_decision_detailed,WRONG DECISION! Strike added!\n{reason},ŠPATNÉ ROZHODNUTÍ! Přidán trestný bod!\n{reason},FORKERT BESLUTNING! Strike tilføjet!\n{reason},FALSCHE ENTSCHEIDUNG! Strike hinzugefügt!\n{reason},¡DECISIÓN INCORRECTA! ¡Strike añadido!\n{reason},VÄÄRÄ PÄÄTÖS! Isku lisätty!\n{reason},MAUVAISE DÉCISION! Strike ajouté!\n{reason},ROSSZ DÖNTÉS! Strike hozzáadva!\n{reason},KEPUTUSAN SALAH! Strike ditambahkan!\n{reason},DECISIONE SBAGLIATA! Strike aggiunto!\n{reason},VERKEERDE BESLISSING! Strike toegevoegd!\n{reason},FEIL BESLUTNING! Strike lagt til!\n{reason},ZŁA DECYZJA! Dodano Strike!\n{reason},DECISÃO ERRADA! Strike adicionado!\n{reason},DECIZIE GREȘITĂ! Strike adăugat!\n{reason},ZLÉ ROZHODNUTIE! Strike pridaný!\n{reason},FEL BESLUT! Strike tillagd!\n{reason},YANLIŞ KARAR! Strike eklendi!\n{reason},QUYẾT ĐỊNH SAI! Thêm Strike!\n{reason},
alert_reason_approved,Potato meets all requirements - APPROVED,Brambora splňuje všechny požadavky - SCHVÁLENO,Kartoffel opfylder alle krav - GODKENDT,Kartoffel erfüllt alle Anforderungen - GENEHMIGT,La papa cumple todos los requisitos - APROBADA,Peruna täyttää kaikki vaatimukset - HYVÄKSYTTY,La pomme de terre répond à toutes les exigences - APPROUVÉE,A krumpli minden követelménynek megfelel - JÓVÁHAGYVA,Kentang memenuhi semua persyaratan - DISETUJUI,La patata soddisfa tutti i requisiti - APPROVATA,Aardappel voldoet aan alle eisen - GOEDGEKEURD,Potet oppfyller alle krav - GODKJENT,Ziemniak spełnia wszystkie wymagania - ZATWIERDZONY,Batata atende a todos os requisitos - APROVADA,Cartofii îndeplinesc toate cerințele - APROBAT,Zemiak spĺňa všetky požiadavky - SCHVÁLENÝ,Potatis uppfyller alla krav - GODKÄND,Patates tüm gereklilikleri karşılıyor - ONAYLANDI,Khoai tây đáp ứng tất cả yêu cầu - ĐƯỢC PHÊ DUYỆT,
alert_reason_should_reject,You should have REJECTED this potato,Měli jste tuto bramboru ODMÍTNOUT,Du skulle have AFVIST denne kartoffel,Sie hätten diese Kartoffel ABLEHNEN sollen,Deberías haber RECHAZADO esta papa,Sinun olisi pitänyt HYLÄTÄ tämä peruna,Vous auriez dû REJETER cette pomme de terre,El kellett volna UTASÍTANIA ezt a krumplit,Anda seharusnya MENOLAK kentang ini,Avresti dovuto RIFIUTARE questa patata,Je had deze aardappel moeten AFWIJZEN,Du skulle ha AVVIST denne poteten,Powinieneś był ODRZUCIĆ tego ziemniaka,Você deveria ter REJEITADO esta batata,Ar fi trebuit să RESPINGI acest cartof,Mali ste ODMIETNUŤ tento zemiak,Du borde ha AVVISAT denna potatis,Bu patesi REDDETMELİYDİN,Bạn đáng lẽ phải TỪ CHỐI khoai tây này,
tutorial_check_type,Check the 'Type' field in the passport,Zkontrolujte pole 'Typ' v pasu,Tjek 'Type' feltet i passet,Überprüfen Sie das Feld 'Typ' im Pass,Verifica el campo 'Tipo' en el pasaporte,Tarkista passin 'Tyyppi' kenttä,Vérifiez le champ 'Type' dans le passeport,Ellenőrizze az útlevél 'Típus' mezőjét,Periksa bidang 'Jenis' di paspor,Controlla il campo 'Tipo' nel passaporto,Controleer het veld 'Type' in het paspoort,Sjekk 'Type' feltet i passet,Sprawdź pole 'Typ' w paszporcie,Verifique o campo 'Tipo' no passaporte,Verificați câmpul 'Tip' din pașaport,Skontrolujte pole 'Typ' v pase,Kontrollera fältet 'Typ' i passet,Pasaporttaki 'Tür' alanını kontrol edin,Kiểm tra trường 'Loại' trong hộ chiếu,
tutorial_check_condition,Check the 'Condition' field in the passport,Zkontrolujte pole 'Stav' v pasu,Tjek 'Tilstand' feltet i passet,Überprüfen Sie das Feld 'Zustand' im Pass,Verifica el campo 'Condición' en el pasaporte,Tarkista passin 'Kunto' kenttä,Vérifiez le champ 'Condition' dans le passeport,Ellenőrizze az útlevél 'Állapot' mezőjét,Periksa bidang 'Kondisi' di paspor,Controlla il campo 'Condizione' nel passaporto,Controleer het veld 'Conditie' in het paspoort,Sjekk 'Tilstand' feltet i passet,Sprawdź pole 'Stan' w paszporcie,Verifique o campo 'Condição' no passaporte,Verificați câmpul 'Condiție' din pașaport,Skontrolujte pole 'Stav' v pase,Kontrollera fältet 'Tillstånd' i passet,Pasaporttaki 'Durum' alanını kontrol edin,Kiểm tra trường 'Tình trạng' trong hộ chiếu,
tutorial_check_country,Check the 'Country' field in the passport,Zkontrolujte pole 'Země' v pasu,Tjek 'Land' feltet i passet,Überprüfen Sie das Feld 'Land' im Pass,Verifica el campo 'País' en el pasaporte,Tarkista passin 'Maa' kenttä,Vérifiez le champ 'Pays' dans le passeport,Ellenőrizze az útlevél 'Ország' mezőjét,Periksa bidang 'Negara' di paspor,Controlla il campo 'Paese' nel passaporto,Controleer het veld 'Land' in het paspoort,Sjekk 'Land' feltet i passet,Sprawdź pole 'Kraj' w paszporcie,Verifique o campo 'País' no passaporte,Verificați câmpul 'Țară' din pașaport,Skontrolujte pole 'Krajina' v pase,Kontrollera fältet 'Land' i passet,Pasaporttaki 'Ülke' alanını kontrol edin,Kiểm tra trường 'Quốc gia' trong hộ chiếu,
tutorial_check_age,Check the 'Born' field to calculate age,Zkontrolujte 'Datum narození' pro výpočet věku,Tjek 'Fødselsdato' for at beregne alder,Überprüfen Sie das 'Geburtsdatum' zur Altersberechnung,Verifica la 'Fecha de Nacimiento' para calcular la edad,Tarkista 'Syntymäaika' iän laskemiseksi,Vérifiez la 'Date de Naissance' pour calculer l'âge,Ellenőrizze a 'Születési dátumot' az életkor kiszámításához,Periksa 'Tanggal Lahir' untuk menghitung umur,Controlla la 'Data di Nascita' per calcolare l'età,Controleer de 'Geboortedatum' om de leeftijd te berekenen,Sjekk 'Fødselsdato' for å beregne alder,Sprawdź 'Datę Urodzenia' aby obliczyć wiek,Verifique a 'Data de Nascimento' para calcular a idade,Verificați 'Data Nașterii' pentru a calcula vârsta,Skontrolujte 'Dátum narodenia' na výpočet veku,Kontrollera 'Födelsedatum' för att beräkna ålder,Yaşı hesaplamak için 'Doğum Tarihi'ni kontrol edin,Kiểm tra 'Ngày Sinh' để tính tuổi,
tutorial_check_gender,Check the 'Gender' field in the passport,Zkontrolujte pole 'Pohlaví' v pasu,Tjek 'Køn' feltet i passet,Überprüfen Sie das Feld 'Geschlecht' im Pass,Verifica el campo 'Género' en el pasaporte,Tarkista passin 'Sukupuoli' kenttä,Vérifiez le champ 'Genre' dans le passeport,Ellenőrizze az útlevél 'Nem' mezőjét,Periksa bidang 'Gender' di paspor,Controlla il campo 'Genere' nel passaporto,Controleer het veld 'Geslacht' in het paspoort,Sjekk 'Kjønn' feltet i passet,Sprawdź pole 'Płeć' w paszporcie,Verifique o campo 'Gênero' no passaporte,Verificați câmpul 'Gen' din pașaport,Skontrolujte pole 'Pohlavie' v pase,Kontrollera fältet 'Kön' i passet,Pasaporttaki 'Cinsiyet' alanını kontrol edin,Kiểm tra trường 'Giới tính' trong hộ chiếu,
