keys,en,ar,bg,cs,da,de,el,es,es-419,fi,fr,hu,id,it,ja,ko,nl,no,pl,pt,pt-BR,ro,ru,sk,sv,th,tr,uk,vi,zh-CN,zh-TW
Text/318/text,"Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]""","Russet nods approvingly. ""Good. [color=DARK_ORANGE]You'll go far.[/color]"""
Text/319/text,"You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day...""","You push the plate away. ""I'm not feeling well. The excitement of the day..."""
Text/31a/text,"Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color].","Russet's eyes narrow briefly, then soften. Of course. Such a [color=YELLOW]sensitive constitution[/color]."
Text/31b/text,"Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee.","Rest up. Tomorrow, we have [color=CRIMSON]more processing[/color] to oversee."
Text/31c/text,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.,You return to your quarters. The medal weighs heavy on your chest.
Text/31d/text,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.,You pull out the photo of the missing wife. Her wife is probably in the same batch as her now.
Text/31e/text,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.,You promised to find her. [color=STEEL_BLUE]You found her.[/color] Just not the way either of you hoped.
Text/31f/text,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.,Murphy. Your friend. The one who trusted you. He was in the resistance.
Text/320/text,[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color],[color=CRIMSON]Was.[/color]
Text/321/text,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.,You stare at your reflection in the window. The medal gleams. [color=DARK_ORANGE]Golden Tuber[/color]. Hero of Spud.
Text/322/text,[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color],[color=STEEL_BLUE]Monster in potato skin.[/color]
Text/323/text,"That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier.","That night, you dream of Sasha. She doesn't accuse. Doesn't rage. That would be easier."
